type,total_volts,total_amps,cgpu_volts,cgpu_amps
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,728,5040,176
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,176
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,728,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,736,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,728,5040,176
run,5048,736,5040,176
run,5048,736,5040,176
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
